time ,text ,user ,rts ,place ,lon ,lat,dic,dic_rounded
2017-05-04 15:47:47 ,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",♫ Marie ∞ ,80,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 15:40:15 ,C moi ou les médias essayent de manipuler les #legislatives2017 à présent? #SansMoiLe7Mai #2017LeDebat #insoumis ,Tony Boutemeur φ ,3,"Pamproux , France ",45.7087 ,0.6269,-1.0,0
2017-05-04 15:23:23 ,#2017LeDebat Les électeurs de #Macron  ,Tony Boutemeur φ ,4,"Pamproux , France ",45.7087 ,0.6269,0.0,Nan
2017-05-04 15:02:09 ,#2017LeDebat...mdddrrr. ....je ne voterai pas le pen pour autant... ,christian Caille ,0,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 14:12:49 ,"RT @LucssOFFICIEL: C'est d'un ridicule ce débat. Personne s'écoute , Personne. T'as 2 lions qui rugissent et 2 canard qui comptent les point… ",Sansan🤙🏽 ,80,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 14:08:51 ,RT @A_Muharrem87: Poutout il est caché sous la table  #2017LeDebat ,Lieutenant KiGliss ,9,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 12:01:03 ,RT @G_legban: Regarder le #2017LeDebat en replay parce qu'on l'a manqué. Ouais effectivement elle est passionnante ma vie 😐😐 ,Bouzitou HB ,2,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 11:57:56 ,RT @G_legban: Regarder le #2017LeDebat en replay parce qu'on l'a manqué. Ouais effectivement elle est passionnante ma vie 😐😐 ,louna🌹 ,2,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 11:15:01 ,COMME UN OURAGAN QUI PASSAIT SUR MOI #2017LeDébat ,🖖🏼 ,0,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 11:02:10 ,"RT @zdricpx: L'éducation , on te traite ça en 4 min chrono et deux coups de cuiller à pot... c'est tellement simple! #2017LeDebat #LeVideSid… ",Fred ,2,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 11:01:54 ,RT @zdricpx: J'ai loupé les deux premières minutes du #2017LeDebat mais je crois qu'on a réglé le pb du dérèglement climatique vu qu'on n'e… ,Fred ,3,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 10:41:20 ,RT @DiezThomas: Macron après 8 minutes de débat #2017LeDebat ,Aurelie ,8,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 10:26:15 ,"Le pire dans tout ça , c'est que ceux qui votent déjà pour elle , l'ont trouvée aveuglément formidable. #2017LeDebat ",Pauline M ,0,NaN ,45.7087 ,0.6269,-0.3333333333333333,0
2017-05-04 10:21:42 ,Breaking News est sorti de presse!   #2017ledebat #macron ,le sportif enchaîné ,0,NaN ,45.7087 ,0.6269,0.0,Nan
2017-05-04 10:01:19 ,Regarder le #2017LeDebat en replay parce qu'on l'a manqué. Ouais effectivement elle est passionnante ma vie 😐😐 ,🇨🇲 ,2,NaN ,45.7087 ,0.6269,-1.0,0
2017-05-04 10:01:10 ,"Marine le pen bien au dessus , macron stresse sur certains sujet bien trop voyant , macron n'a rien d'un président  #2017LeDebat ",Yannou ,0,NaN ,45.7087 ,0.6269,-0.14285714285714285,0
