time ,text ,user ,rts ,place ,lon ,lat,dic,dic_rounded
2017-05-06 18:54:17 ,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Abgrall Abamont Oliv ,275,NaN ,43935,6068,0.0,Nan
2017-05-06 18:50:26 ,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Stefan #MLP2017 🇫🇷 ,275,NaN ,43935,6068,0.0,Nan
2017-05-06 18:47:33 ,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Trefcon Bernadette E ,275,NaN ,43935,6068,0.0,Nan
2017-05-06 18:31:50 ,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",pedro✞ن✡#Marine 2017 ,275,NaN ,43935,6068,0.0,Nan
2017-05-06 18:31:38 ,"RT @david_rachline: ""@MLP_officiel a été convainquante ce soir et cela augure de bonnes dynamiques dans ces derniers jours de campagne."" #2… ",pedro✞ن✡#Marine 2017 ,132,NaN ,43935,6068,1.0,1
2017-05-06 18:31:26 ,"RT @david_rachline: ""Emmanuel #Macron souhaite poursuivre l'immigration massive telle qu'elle existe depuis des décennies."" #2017LeDébat @B… ",pedro✞ن✡#Marine 2017 ,194,NaN ,43935,6068,-1.0,0
2017-05-06 18:31:20 ,"RT @david_rachline: ""S'il gagnait , M. #Macron gouvernerait avec les sortants socialistes , qui composent la majorité de ses soutiens !"" #201… ",pedro✞ن✡#Marine 2017 ,148,NaN ,43935,6068,0.0,Nan
2017-05-06 18:31:08 ,"RT @david_rachline: ""@MLP_officiel a montré que M. #Macron a été aux responsabilités et a un bilan."" #2017LeDébat @BFMTV ",pedro✞ن✡#Marine 2017 ,156,NaN ,43935,6068,0.0,Nan
2017-05-06 18:26:04 ,"RT @david_rachline: ""S'il gagnait , M. #Macron gouvernerait avec les sortants socialistes , qui composent la majorité de ses soutiens !"" #201… ",Normand Chaput ,148,NaN ,43935,6068,0.0,Nan
2017-05-06 18:25:53 ,"RT @david_rachline: ""@MLP_officiel a montré que M. #Macron a été aux responsabilités et a un bilan."" #2017LeDébat @BFMTV ",Cendrillon 16 ▽ ,156,NaN ,43935,6068,0.0,Nan
2017-05-06 18:25:51 ,"RT @david_rachline: ""S'il gagnait , M. #Macron gouvernerait avec les sortants socialistes , qui composent la majorité de ses soutiens !"" #201… ",Cendrillon 16 ▽ ,148,NaN ,43935,6068,0.0,Nan
2017-05-06 18:25:47 ,"RT @david_rachline: ""Emmanuel #Macron souhaite poursuivre l'immigration massive telle qu'elle existe depuis des décennies."" #2017LeDébat @B… ",Cendrillon 16 ▽ ,194,NaN ,43935,6068,-1.0,0
2017-05-06 18:25:45 ,"RT @david_rachline: ""@MLP_officiel a été convainquante ce soir et cela augure de bonnes dynamiques dans ces derniers jours de campagne."" #2… ",Cendrillon 16 ▽ ,132,NaN ,43935,6068,1.0,1
2017-05-06 18:25:42 ,"RT @david_rachline: ""Marine a mis ce soir M. #Macron face à ses responsabilités : oui , il a eu le soutien de l'UOIF , et c'est scandaleux !""… ",Cendrillon 16 ▽ ,275,NaN ,43935,6068,0.0,Nan
2017-05-06 18:25:39 ,"RT @david_rachline: J'étais à l'instant sur @BFMTV en duplex de notre siège de campagne , après #2017LeDébat:  ",Cendrillon 16 ▽ ,43,NaN ,43935,6068,-1.0,0
2017-05-06 17:55:18 ,RT @Enzo_Alias: #Macron est pour l'immigration de masse pour tirer les salaires vers le bas !            #2017LeDébat ,Eoin O'Duffy ,12,NaN ,43935,6068,-1.0,0
2017-05-06 17:53:10 ,RT @Enzo_Alias: #Macron est pour l'immigration de masse pour tirer les salaires vers le bas !            #2017LeDébat ,OldAtlantic ,12,NaN ,43935,6068,-1.0,0
2017-05-06 17:38:02 ,RT @Xecolo: #lepen est tellement venere de son crash du #2017LeDebat qu'il ne lui reste plus que des #FNFakeNews  ,EcoloGeek ,8,NaN ,43935,6068,-0.3333333333333333,0
2017-05-06 17:00:34 ,RT @Enzo_Alias: #Macron est pour l'immigration de masse pour tirer les salaires vers le bas !            #2017LeDébat ,Resistance83 🇫🇷 ,12,NaN ,43935,6068,-1.0,0
2017-05-06 16:01:47 ,RT @loaketienne: Et sinon Emmanuel Macron ce débat ? #2017LeDebat ,Mounia ,241,NaN ,43935,6068,0.0,Nan
2017-05-06 15:49:18 ,RT @loaketienne: Et sinon Emmanuel Macron ce débat ? #2017LeDebat ,ayrton. ,241,NaN ,43935,6068,0.0,Nan
2017-05-06 15:09:37 ,RT @aecLaCiotat: Elle est inépuisable la vague qui nous porte ! @JLMelenchon  #RendezNousMelenchon #2017LeDebat   htt… ,Romain Goedseels ,77,NaN ,43935,6068,-1.0,0
2017-05-06 14:53:48 ,"RT @Eleonore_Bez: ""Je rends leur argent aux Français ! Je baisserai des dépenses auxquelles vous ne voulez pas toucher"" @MLP_officiel - #20… ",HMS Attacker ,57,NaN ,43935,6068,-1.0,0
2017-05-06 14:14:53 ,"RT @Bob_Le_Chacal: Quand tu utilises des toilettes japonaises pour la première fois...
#2017LeDebat #GrandDebat  ",llozell lemzell ,1121,NaN ,43935,6068,0.0,Nan
2017-05-06 13:27:24 ,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",Georges Grand ,204,NaN ,43935,6068,1.0,1
2017-05-06 12:51:39 ,"RT @PBLVofficiel: / #Mistral Info / Le débat des élections a eu lieu ds #PBLV ! Et le grand gagnant est ... #2017LeDebat #Debat2017

,Sarah 💥 ,10 ,NaN ,43.935 ,6.068
2017-05-06 12:37:25 ,""RT @Bob_Le_Chacal: Quand tu utilises des toilettes japonaises pour la première fois...
#2017LeDebat #GrandDebat  ",SuperCaca_YTB ,1121,NaN ,43935,6068,1.0,1
2017-05-06 12:36:38 ,"RT @Bob_Le_Chacal: Quand tu utilises des toilettes japonaises pour la première fois...
#2017LeDebat #GrandDebat  ",pнαѕтoм ,1121,NaN ,43935,6068,0.0,Nan
2017-05-06 12:06:43 ,"RT @Bob_Le_Chacal: Quand tu utilises des toilettes japonaises pour la première fois...
#2017LeDebat #GrandDebat  ",Hugo Saaf ,1121,NaN ,43935,6068,0.0,Nan
2017-05-06 11:54:41 ,"RT @TeamMarcheurs: ❌ D'après les derniers chiffres le vote blanc favorise largement #Lepen alors stop #BlancMarine 

#Albi #Macron #2017LeD… ",Martial ,204,NaN ,43935,6068,1.0,1
2017-05-06 11:18:25 ,"RT @TontonArtheon: #2017LeDebat sans Lassalle c'est comme un Pastis sans glaçon , lourd et écœurant...  ",Alex ,89,NaN ,43935,6068,0.5,1
2017-05-06 11:04:25 ,"RT @ParoleDePaix: Si un jour tu te sens inutile , pense à elle ce soir... 
#macronlepen #2017LeDebat #Debat2017 #Debat2ndTour  ",Sharnalk ,5,NaN ,43935,6068,-1.0,0
2017-05-06 09:59:38 ,"RT @StephaneRapuzzi: «Toute nation a le gouvernement qu'elle mérite» , qu’a ton fait pour mériter ça? Ha oui! qualifier pour le 2ème tour 2… ",Laeti ✏️✒️ ,33,NaN ,43935,6068,0.5,1
2017-05-06 09:50:43 ,#2017LeDebat ,Prince d'euphor ,0,NaN ,43935,6068,0.0,Nan
2017-05-06 09:34:14 ,"RT @Bob_Le_Chacal: Quand tu utilises des toilettes japonaises pour la première fois...
#2017LeDebat #GrandDebat  ",SplashMax\FunCraft ,1121,NaN ,43935,6068,0.0,Nan
2017-05-06 07:56:14 ,"RT @TeamMarcheurs: C'est quoi cette histoire de double monnaie Mme #Lepen... 

🇪🇺 #2017LeDébat #jevotemacron #europe #leDebat2017 #GrandDeb… ",Dondain ,117,NaN ,43935,6068,0.0,Nan
2017-05-06 07:28:58 ,RT @aecLaCiotat: Elle est inépuisable la vague qui nous porte ! @JLMelenchon  #RendezNousMelenchon #2017LeDebat   htt… ,AubeInsoumise φ ,77,NaN ,43935,6068,-1.0,0
2017-05-06 07:26:20 ,"RT @AlineB_FN: @MLP_officiel : ""Tous les fichés S étrangers : Dehors !""

Nous ne nous habituerons pas au terrorisme ! 🇫🇷

#2017LeDebat 
#Ch… ",MENICHINI Jean-Marc ,31,NaN ,43935,6068,-1.0,0
2017-05-06 06:54:56 ,RT @Xecolo: #lepen est tellement venere de son crash du #2017LeDebat qu'il ne lui reste plus que des #FNFakeNews  ,Coco Listo ,8,NaN ,43935,6068,-0.3333333333333333,0
2017-05-06 06:44:11 ,RT @Xecolo: #lepen est tellement venere de son crash du #2017LeDebat qu'il ne lui reste plus que des #FNFakeNews  ,Julie ,8,NaN ,43935,6068,-0.3333333333333333,0
2017-05-06 06:31:33 ,RT @Xecolo: #lepen est tellement venere de son crash du #2017LeDebat qu'il ne lui reste plus que des #FNFakeNews  ,elleminione ,8,NaN ,43935,6068,-0.3333333333333333,0
