,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
42,RT @cyril_pouchin: Marine Le Pen se noie totalement sur la question de l'Europe. A pleurer de rire.  #2017LeDebat #LePenNon ,0,2,2,2,0,1,0
43,"RT @libe: La carte blanche de Marine Le Pen :« Je n'ai pas de thème choisi , c'est une philosophie générale» #2017LeDebat  ",Nan,2,2,2,1,0,0
44,RT @Rayanlvtt: Si Macron est élu #2017LeDebat #GrandDebat ,Nan,2,2,2,0,1,0
45,RT @EmmanuelMacron: L'un d'entre nous devra être le garant de nos institutions. Vous les menacez. Vous n'en êtes pas digne. #2017LeDébat ht… ,1,2,2,2,0,0,0
46,"RT @EmmanuelMacron: Vous êtes sous le coup d'une affaire judiciaire , pas moi. Quand les juges ne vous arrangent pas , ils sont incompétents.… ",Nan,2,2,2,1,1,0
47,"RT @Alextrxm: ""Madame Le Pen , vous pouvez nous parler de votre programme ? De vos propositions ?"" #2017LeDebat  ",Nan,2,2,0,0,1,0
48,"RT @solere92: bon boulot ce soir de @MLP_officiel qui , par son indignité , aura donné envie de voter @EmmanuelMacron au derniers hésitants #… ",1,2,2,2,1,1,1
49,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
50,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
51,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat ,1,2,2,2,0,0,0
52,"RT @EmmanuelMacron: Je suis debout , mais pour être debout je n'ai pas besoin de salir les étrangers ou les juges. #2017LeDébat ",0,2,2,2,0,1,0
53,"RT @dupontaignan: ""Contrôler les frontières ne sert à rien contre le terrorisme"" : la folie laxiste de M. Macron dévoilée au grand jour ! #… ",0,2,2,2,0,0,0
54,"RT @topito_com: ""Madame Le Pen , votre avis sur les impôts ? 
- NON MAIS C'EST LA FAUTE A MACRON SI LES IMPÔTS Y SONT ÉLEVÉS""#2017LeDebat ",0,2,2,2,0,0,0
55,RT @EmmanuelMacron: Je suis le candidat d'une France forte dans une Europe qui protège. #2017LeDébat ,1,2,2,2,0,0,0
56,"RT @EmmanuelMacron: Sur l'euro , je ne comprends pas votre position : on revient au franc ? Il y aura deux monnaies ? À quoi servira l'euro… ",Nan,2,2,2,0,0,0
57,"RT @topito_com: ""Madame Le Pen , votre avis sur les impôts ? 
- NON MAIS C'EST LA FAUTE A MACRON SI LES IMPÔTS Y SONT ÉLEVÉS""#2017LeDebat ",0,2,2,2,0,0,0
58,"RT @EmmanuelMacron: Madame Le Pen , la France mérite mieux que vous. #2017LeDébat ",1,1,2,1,1,1,1
59,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
60,"RT @Poulin2012: J'imagine quand MLP va sortir du débat et demander à ses équipes ""alors j'étais comment?"" ... #2017LeDebat  ",Nan,2,2,2,0,1,0
61,RT @EmmanuelMacron: Nous devons avoir une tolérance zéro à l'égard du terrorisme. #2017LeDébat ,Nan,2,2,2,0,0,1
62,RT @Alextrxm: les journalistes quand ils essayent d'intervenir mais qu'ils se font couper la parole  #2017LeDebat ,Nan,2,2,2,0,1,0
63,"RT @EmmanuelMacron: Je suis debout , mais pour être debout je n'ai pas besoin de salir les étrangers ou les juges. #2017LeDébat ",0,2,2,2,0,1,0
64,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
65,RT @CyrusNorth: Y'a un mec qui donne un cours d'économie à Marine Le Pen à la TV. C'est génial. #2017LeDebat ,Nan,2,2,2,1,0,0
66,RT @hugogelin: Le Pen parle de Macron. Macron parle de la France. #2017LeDebat ,Nan,0,2,0,0,0,0
67,RT @HJSfr: #Presidentielle2017 #Avoté #2017LeDebat #Tulle #Votons #Censure #HenonBeaumont #ToutSaufMacron #JeVoteMarine #FacebookGate #Macr… ,Nan,2,2,2,0,0,1
68,RT @Henry_Rousso: Le fossé entre l'importance politique de Le Pen et son incompétence totale sur presque tous les sujets est un problème ma… ,0,2,2,2,1,1,1
69,RT @exdrn: - t'a pas besoin d'expliquer ton programme si t'en a pas #GrandDebat2017 #2017LeDébat ,Nan,2,2,2,0,1,0
70,RT @EmmanuelMacron: #2017LeDébat en 5 minutes ! ,Nan,2,2,2,1,0,1
71,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
72,RT @Sylvqin: T'as pas besoin de parler de ton programme si t'insultes l'autre candidat pendant 3h #2017LeDébat ,Nan,2,2,2,0,1,0
73,RT @siramann: Apercu ce matin 12h apres le débat  #2017LeDebat ,Nan,2,2,2,0,0,1
74,RT @EmmanuelMacron: Je veux présider le pays. #2017LeDébat ,Nan,2,2,1,1,1,1
75,RT @Marwan_FX: Attendez calmez vous. J'ai PAS (exactement) dit que je soutenais MLP. J'ai JUSTE dit que j'étais dispo pour un taf début mai… ,Nan,2,2,2,0,0,0
76,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
77,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
78,"RT @Jul_XV: ""J'ai été avocate donc je sais comment fonctionne la justice"" = ""Je suis aide soignant donc je sais opérer à cœur ouvert"" #2017… ",1,2,2,2,0,0,0
79,RT @EmmanuelMacron: Vous avez été contre toutes les réformes proposées par l'Union européenne pour lutter contre le terrorisme. #2017LeDéba… ,0,2,2,2,0,0,0
80,RT @Freezze: RT si t'as rien compris. #2017LeDebat ,0,2,2,2,0,1,0
81,RT @exdrn: - t'a pas besoin d'expliquer ton programme si t'en a pas #GrandDebat2017 #2017LeDébat ,Nan,2,2,2,0,1,0
82,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
83,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
84,"RT @dupontaignan: M.Macron , petit télégraphiste de Mme Merkel , veut appliquer la feuille  de route de Bruxelles avec l'argent des Français.… ",0,2,2,2,0,0,0
85,RT @ErenJaeger95: Normalement #2017LeDébat aurait dû ce passé comme ça 😭😭😭😭 ,1,2,2,2,0,1,0
86,"RT @Freezze: ""Poudre de Perlimpinpin""  #2017LeDebat  ",Nan,2,2,2,0,0,1
87,"RT @achrisafis: Macron tells Le Pen you'd bring ""civil war"" to France , you'd ""divide"" France , ""that's what the terrorists want"" #2017LeDebat ",Nan,2,2,2,0,1,0
88,RT @AudeBaron: Le Pen qui accuse Macron d'avoir des soutiens louches. Et pendant ce temps... #2017leDebat ,0,2,2,2,0,0,1
89,RT @HJSfr: #Presidentielle2017 #Avoté #2017LeDebat #Tulle #Votons #Censure #HenonBeaumont #ToutSaufMacron #JeVoteMarine #FacebookGate #Macr… ,Nan,2,2,2,0,0,1
90,RT @HJSfr: #Presidentielle2017 #Avoté #2017LeDebat #Tulle #Votons #Censure #HenonBeaumont #ToutSaufMacron #JeVoteMarine #FacebookGate #Macr… ,Nan,2,2,2,0,0,1
91,RT @pandisama_: CEST DE LA POUDRE DE PERLIMPIMPIMMMMMMM SALOOOOOPEEEEEEEE #2017LeDebat ,Nan,2,2,2,0,0,0
92,RT @libe: Marine Le Pen raconte (encore) n'importe quoi sur les fichés S : elle est en roue libre #2017LeDebat   ,Nan,2,2,2,0,0,0
93,RT @Marwan_FX: Attendez calmez vous. J'ai PAS (exactement) dit que je soutenais MLP. J'ai JUSTE dit que j'étais dispo pour un taf début mai… ,Nan,2,2,2,0,0,0
94,"RT @Sylvqin: *Macron tire un mot au hasard*
""putain je vais jamais réussir à caler ça""
#2017LeDébat  ",0,2,2,0,1,1,1
95,"RT @Sylvqin: Quand Marine défend les juifs pendant un débat 
#2017LeDébat  ",Nan,2,2,2,1,1,1
96,RT @Freezze: C'est bon elle a vrillé complet #2017LeDebat ,1,2,2,2,0,0,0
