,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin
60,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
61,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
62,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
63,"RT @Harouban: ""-Pk tu men
-Je men pa
-Mé si
-Mé non
-Tg jé réson
-Mé non""
............
#2017LeDebat ",1,2,2,2,0,0,0
64,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
65,RT @Dekrypt_Off: La meilleure image du #2017LeDebat ,Nan,1,2,1,1,0,1
66,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
67,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
68,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
69,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
70,"RT @Harouban: ""-Pk tu men
-Je men pa
-Mé si
-Mé non
-Tg jé réson
-Mé non""
............
#2017LeDebat ",1,2,2,2,0,0,0
71,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
72,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
73,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
74,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
75,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
76,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
77,RT @Hugoprsgugo: #2017LeDebat elle voulait jeter les craies ,Nan,2,2,1,0,0,1
