,Unnamed: 0,text,dic_rounded,lsvc,knn,mnb,lsvc_bin,knn_bin,mnb_bin,entities,candidate
42,42,#2017LeDebat ,Nan,2,2,2,0,0,1,None,None
43,43,RT @Mushway: macron il suce tellement c'est incroyable #2017LeDébat ,Nan,2,2,2,0,0,0,None,None
44,44,"RT @Mushway: le nombre de crétin sur ce hastag qui comprennent rien a ceux qu'il se dit  et qui rabâche la merde des autres , suicidez vous… ",0,2,2,0,0,0,0,None,None
45,45,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
46,46,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
47,47,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
48,48,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
49,49,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",1,2,2,2,1,0,0,"Hollande,Hollande,Marine,#Macron",None
50,50,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
51,51,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",1,2,2,2,1,0,0,"Hollande,Hollande,Marine,#Macron",None
52,52,RT @StevenJoly3: Alerte ! Nous sommes a la recherche des deux journalistes  #2017LeDebat   😂😂😂 ,Nan,2,2,2,0,0,1,None,None
53,53,"  #2017ledebat C'est un complot , il savait depuis le début que j'étais un bot! Trop facile aussi.... ",Nan,2,2,1,0,0,0,None,None
54,54,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,0,2,2,2,0,1,0,MLP,None
55,55,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
56,56,"RT @jimmyfaitlcon: -moi je suis proche des salariés
-nan c'est moi
-nan c'est pas vrai c'est moi
-menteur c'est moi
#2017LeDébat ",0,2,2,0,0,0,0,None,None
57,57,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
58,58,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
59,59,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
60,60,RT @AdelineNoirmain: Il manque quand même quelqu'un pour élever le débat ... @FrancoisFillon revenez ! #2017LeDebat ,0,2,2,2,0,1,0,None,None
61,61,"RT @aucharbon2017: 🔴 [EN CAMPAGNE] Hier soir , au bar  Hall'Princess (Lille) les macronistes s'en sont donnés à coeur joie
 ",Nan,2,2,2,0,1,0,"CAMPAGNE,Lille",None
62,62,"RT @Mushway: Marine Le Pen : Ridicule
Macron : Suceur de bite qui se place en victime
Bilan: Allez tous vous faire enculé #2017LeDébat #Gra… ",0,2,2,2,1,1,1,"Marine Le Pen Ridicule Macron Suceur,Bilan Allez",LePen
63,63,RT @sbast1: Un nouveau scandale d'emploi fictif pour les journalistes du débat #Debat2017 #2017LeDébat #2017LeDebat ,0,2,2,2,0,0,1,None,None
64,64,RT @sbast1: Avec @jeanlassalle on aurait rien compris mais au moins on se serait marré #2017LeDébat #2017LeDebat ,0,2,2,2,1,1,0,None,None
65,65,RT @SteeveBriois: Le bilan de #Macron lorsqu'il était conseiller économique de François #Hollande a été catastrophique ! #Débat2017 #2017Le… ,Nan,2,2,2,0,1,0,"François,#Macron",Macron
66,66,RT @SteeveBriois: #Macron / #Hollande : même bilan ! Vous en revoulez pour 5 ans ? #Débat2017 #2017LeDébat ,Nan,2,2,2,1,1,1,#Macron,Macron
67,67,"RT @jimmyfaitlcon: La vie d'ma mère j'vais les bomber , y m'connaissent pas putain je vais craquer... #2017LeDebat  ",0,1,2,1,1,1,1,None,None
68,68,"RT @hb_xpredator: Journaliste : Vos propositions pour l'aide aux handicapés ? 

LePen : Vous savez l'immigration..

 #2017LeDebat  ",0,2,2,2,0,0,0,"Journaliste Vos,LePen Vous",LePen
69,69,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
70,70,RT @charlesjombart: .@MLP_officiel Le #handicap intéresse si peu les médias que c'est totalement passé inaperçu. #2017LeDebat ,0,2,2,2,0,0,0,None,None
71,71,"RT @charlesjombart: .@MLP_officiel Cet hiver , @MLP_officiel faisait le même parallèle honteux entre #sdf et #migrants. Elle ne fait qu'util… ",0,2,2,2,0,1,0,None,None
72,72,RT @charlesjombart: .@MLP_officiel La solidarité n'est pas une valeur à géométrie variable et @MLP_officiel n'utilise le #handicap qu'à des… ,1,2,2,2,0,0,0,None,None
73,73,"RT @charlesjombart: .@MLP_officiel Rappel , @MLP_officiel a corrélé le manque de moyens alloués au #handicap aux moyens jugés ""trop importan… ",0,0,2,0,0,0,0,None,None
74,74,RT @charlesjombart: Les #médias ne font que peu d'écho des propos scandaleux de @MLP_officiel concernant le #handicap lors du débat d'hier.… ,0,0,2,0,0,0,0,None,None
75,75,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
76,76,"RT @jimmyfaitlcon: Réglez ça en bras de fer , on va gagner du temps ! #2017LeDébat ",Nan,2,2,2,1,1,1,None,None
77,77,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
78,78,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
79,79,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
#2017LeDebat  #GrandDebat 
  ",1,2,2,2,0,0,1,Leees,None
80,80,RT @marouaneyounsi: En direct du QG de #MarineLePen qui cherche encore la feuille pour contrer #@EmmanuelMacron 😂 #2017ledebat #EnMarche #L… ,1,2,2,2,1,0,1,"#MarineLePen,@EmmanuelMacron",None
81,81,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",1,2,2,2,1,0,0,"Hollande,Hollande,Marine,#Macron",None
82,82,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
83,83,"RT @Mushway: Marine Le Pen : Ridicule
Macron : Suceur de bite qui se place en victime
Bilan: Allez tous vous faire enculé #2017LeDébat #Gra… ",0,2,2,2,1,1,1,"Marine Le Pen Ridicule Macron Suceur,Bilan Allez",LePen
84,84,"RT @SteeveBriois: #Macron est apparu comme le candidat de Hollande , assumant le bilan de Hollande. Le changement ne viendra que de Marine !… ",1,2,2,2,1,0,0,"Hollande,Hollande,Marine,#Macron",None
85,85,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
86,86,RT @NuritFlorent: On va payer un kebab12 écus on va rien comprendre #2017LeDébat ,Nan,2,2,2,1,1,1,None,None
87,87,"RT @Axouuuul: Qui a parié avec Macron pour qu'il glisse  ""poudre de perlinpinpin"" dans le débat ? #2017LeDébat ",Nan,2,2,2,0,1,0,Macron,Macron
88,88,RT @Siphano: MLP est ridicule elle est venu pour attaquer et non débattre. Son temps de parole lui sert à critiquer son adversaire. Risible… ,0,2,2,2,0,1,0,MLP,None
89,89,    #jevotepour #2017LeDebat #Presidentielle2017  #FranceInsoumise #insoumis  #Melenchon  #TF1 #LCI #BFMTV #franceinfo ,0,2,2,2,0,1,0,None,None
90,90,"RT @hb_xpredator: Journaliste : Vos propositions pour l'aide aux handicapés ? 

LePen : Vous savez l'immigration..

 #2017LeDebat  ",0,2,2,2,0,0,0,"Journaliste Vos,LePen Vous",LePen
91,91,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
92,92,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
93,93,je m'en cache pas que je suis    …   #2017LeDebat #Presidentielle2017 #insoumis  #FranceInsoumise #jevotepour Marine ,0,2,2,2,0,0,1,None,None
94,94,RT @RemiGrx: Bon au final j'ai décidé ce que je vais faire pour le 2nd tour.. je vais revoter Mélenchon ! #2017LeDébat #RendezNousMelenchon ,0,2,2,2,0,1,0,Mélenchon,None
95,95,"RT @flemmmmme: ""Leees lumières du phare d'Aleeeeeexandriiiiie""
  
#2017LeDebat ",1,2,2,2,0,0,1,Leees,None
